,time,longitude,latitude,u10,t2m,sp,tp,swvl1
187,2021-01-08 19:00:00,45.0,46.0,-0.44789863,275.4197,101337.49,3.3762306e-05,0.3177383
188,2021-01-08 20:00:00,45.0,46.0,-0.8981377,275.2233,101304.36,3.3762306e-05,0.31755373
189,2021-01-08 21:00:00,45.0,46.0,-1.2657641,274.98642,101287.5,3.3762306e-05,0.31736913
190,2021-01-08 22:00:00,45.0,46.0,-1.391519,274.77267,101245.65,3.3762306e-05,0.317173
191,2021-01-08 23:00:00,45.0,46.0,-1.514979,274.66177,101239.83,3.3762306e-05,0.31698844
192,2021-01-09 00:00:00,45.0,46.0,-1.4562322,274.89862,101239.25,3.3762306e-05,0.31680387
193,2021-01-09 01:00:00,45.0,46.0,-1.6127373,274.83508,101214.836,0.0,0.31665388
194,2021-01-09 02:00:00,45.0,46.0,-2.0400286,274.827,101130.55,7.107854e-06,0.31652698
195,2021-01-09 03:00:00,45.0,46.0,-1.7031523,274.69296,101117.75,7.107854e-06,0.316377
196,2021-01-09 04:00:00,45.0,46.0,-1.5177327,274.5624,101112.52,1.0661781e-05,0.31623858
197,2021-01-09 05:00:00,45.0,46.0,-1.1308299,274.3267,101115.43,2.4877489e-05,0.31618088
198,2021-01-09 06:00:00,45.0,46.0,-0.7448453,274.68027,101151.47,2.6654452e-05,0.31604245
199,2021-01-09 07:00:00,45.0,46.0,-1.0151724,274.9067,101158.445,3.3762306e-05,0.31593862
200,2021-01-09 08:00:00,45.0,46.0,-0.66085565,275.54218,101128.8,3.553927e-05,0.31575406
201,2021-01-09 09:00:00,45.0,46.0,-0.96468675,276.05746,101047.414,3.7316233e-05,0.3155464
202,2021-01-09 10:00:00,45.0,46.0,-1.2446519,276.89975,100906.734,3.7316233e-05,0.3152926
203,2021-01-09 11:00:00,45.0,46.0,-1.4438404,277.58258,100845.695,3.7316233e-05,0.31499267
204,2021-01-09 12:00:00,45.0,46.0,-1.5278298,277.8414,100811.39,3.9093196e-05,0.31471577
205,2021-01-09 13:00:00,45.0,46.0,-1.4929489,277.26602,100808.484,3.9093196e-05,0.31451964
206,2021-01-09 14:00:00,45.0,46.0,-1.2832044,276.40176,100800.35,3.9093196e-05,0.31435814
207,2021-01-09 15:00:00,45.0,46.0,-0.6952777,276.0332,100788.72,3.9093196e-05,0.31420818
208,2021-01-09 16:00:00,45.0,46.0,0.26945484,275.91766,100843.95,3.9093196e-05,0.31406975
209,2021-01-09 17:00:00,45.0,46.0,1.1419365,276.01935,100853.83,3.9093196e-05,0.31391978
210,2021-01-09 18:00:00,45.0,46.0,0.59302115,276.27353,100848.016,0.0001119487,0.31435814
211,2021-01-09 19:00:00,45.0,46.0,1.1121042,275.90033,100817.21,0.0001119487,0.31419665
212,2021-01-09 20:00:00,45.0,46.0,1.4049202,276.09677,100866.62,0.0001119487,0.31404668
213,2021-01-09 21:00:00,45.0,46.0,2.1888227,276.50922,100884.64,0.0001119487,0.31387362
214,2021-01-09 22:00:00,45.0,46.0,2.8800154,277.3804,100929.41,0.000115502626,0.31374672
215,2021-01-09 23:00:00,45.0,46.0,3.4803343,278.51843,100925.914,0.00015992671,0.31395438
216,2021-01-10 00:00:00,45.0,46.0,3.4426994,279.36188,100927.08,0.00024521723,0.31451964
217,2021-01-10 01:00:00,45.0,46.0,3.3096013,279.39078,100960.8,0.00032695755,0.31794596
218,2021-01-10 02:00:00,45.0,46.0,3.440405,278.64206,101030.555,0.00055085495,0.32050702
219,2021-01-10 03:00:00,45.0,46.0,3.2517724,277.8495,101097.41,0.00055085495,0.3202763
220,2021-01-10 04:00:00,45.0,46.0,3.087006,277.06497,101150.89,0.00056151673,0.3201494
221,2021-01-10 05:00:00,45.0,46.0,2.7675705,276.10254,101266.57,0.0006699078,0.3207839
222,2021-01-10 06:00:00,45.0,46.0,2.3173313,275.53986,101343.89,0.0009879805,0.32457936
223,2021-01-10 07:00:00,45.0,46.0,2.805205,275.0835,101401.44,0.001160346,0.3259868
224,2021-01-10 08:00:00,45.0,46.0,2.5064225,274.99106,101405.51,0.0012847334,0.32663283
225,2021-01-10 09:00:00,45.0,46.0,2.1989198,275.10196,101375.86,0.0013380423,0.326679
226,2021-01-10 10:00:00,45.0,46.0,1.9510818,275.12277,101309.01,0.0014233328,0.32681742
227,2021-01-10 11:00:00,45.0,46.0,1.6357768,274.97717,101332.266,0.0015370585,0.32702506
228,2021-01-10 12:00:00,45.0,46.0,1.2929341,274.67102,101326.45,0.0016916543,0.32724425
229,2021-01-10 13:00:00,45.0,46.0,1.0749284,274.2262,101356.09,0.0019279867,0.32734808
230,2021-01-10 14:00:00,45.0,46.0,1.3420428,273.64386,101382.26,0.0024504103,0.32730195
231,2021-01-10 15:00:00,45.0,46.0,1.7592368,273.47864,101409.0,0.0034348369,0.32692122
232,2021-01-10 16:00:00,45.0,46.0,2.128699,273.3585,101467.71,0.0048617236,0.32651746
233,2021-01-10 17:00:00,45.0,46.0,2.3581786,273.26953,101504.914,0.0061340183,0.32613677
234,2021-01-10 18:00:00,45.0,46.0,2.5849047,273.2291,101542.125,0.006997615,0.32575607
235,2021-01-10 19:00:00,45.0,46.0,2.7083645,272.8848,101525.266,0.0074649528,0.32539845
236,2021-01-10 20:00:00,45.0,46.0,2.7138722,272.6179,101531.08,0.007660415,0.32502928
237,2021-01-10 21:00:00,45.0,46.0,2.7134132,272.5682,101551.42,0.0077243857,0.32467166
238,2021-01-10 22:00:00,45.0,46.0,2.9768558,272.47232,101538.63,0.007749263,0.32432556
239,2021-01-10 23:00:00,45.0,46.0,2.897915,272.10028,101514.22,0.007759925,0.323991
240,2021-01-11 00:00:00,45.0,46.0,2.953908,271.78253,101531.66,0.007763479,0.32365644
241,2021-01-11 01:00:00,45.0,46.0,2.8781796,271.53644,101525.84,1.7769635e-06,0.32333344
242,2021-01-11 02:00:00,45.0,46.0,2.8354964,271.3377,101515.38,1.7769635e-06,0.3230104
243,2021-01-11 03:00:00,45.0,46.0,2.8180559,271.1367,101511.31,1.7769635e-06,0.3226874
244,2021-01-11 04:00:00,45.0,46.0,3.1172974,271.12396,101547.35,1.7769635e-06,0.32238746
245,2021-01-11 05:00:00,45.0,46.0,3.2214813,270.96106,101589.79,3.553927e-06,0.32208753
246,2021-01-11 06:00:00,45.0,46.0,3.189813,271.28342,101629.91,3.553927e-06,0.32177603
247,2021-01-11 07:00:00,45.0,46.0,4.000335,271.71783,101665.945,5.3308904e-06,0.32144147
248,2021-01-11 08:00:00,45.0,46.0,4.0072193,272.10373,101638.04,5.3308904e-06,0.3210723
249,2021-01-11 09:00:00,45.0,46.0,4.2077847,273.0789,101617.695,5.3308904e-06,0.32064545
250,2021-01-11 10:00:00,45.0,46.0,3.876875,273.39432,101539.22,5.3308904e-06,0.32021862
251,2021-01-11 11:00:00,45.0,46.0,3.7387285,273.4047,101543.87,5.3308904e-06,0.31982636
252,2021-01-11 12:00:00,45.0,46.0,3.2779331,273.13205,101603.164,5.3308904e-06,0.31949183
253,2021-01-11 13:00:00,45.0,46.0,2.6308005,272.80737,101583.4,7.107854e-06,0.3191688
254,2021-01-11 14:00:00,45.0,46.0,2.737279,271.45557,101620.6,7.107854e-06,0.31890348
255,2021-01-11 15:00:00,45.0,46.0,2.5087173,270.72882,101601.414,7.107854e-06,0.31864968
256,2021-01-11 16:00:00,45.0,46.0,2.4839334,270.7034,101653.734,7.107854e-06,0.31840742
257,2021-01-11 17:00:00,45.0,46.0,2.1433856,270.98648,101655.484,7.107854e-06,0.31816515
258,2021-01-11 18:00:00,45.0,46.0,2.1695464,271.14822,101706.64,1.7769635e-05,0.31789982
259,2021-01-11 19:00:00,45.0,46.0,2.0213025,271.12628,101695.01,4.7978014e-05,0.3176691
